Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,13,10,0.8333333333333334,100,11,0.8444444444444444
credit-g_with_noise,1,2,0.49,3,17,0.64
Dermatology-no-missing-values_with_noise,77,6,0.6486486486486487,79,8,0.8648648648648649
eucalyptus_with_noise,1,2,0.40540540540540543,1,19,0.5945945945945946
Flags_with_noise,2,4,0.6,169,8,0.7
German-credit_with_noise,1,2,0.6,1,15,0.63
ilpd_with_noise,26,3,0.6610169491525424,1,10,0.576271186440678
loan_with_noise,5,3,0.532258064516129,1,9,0.6129032258064516
lymphography_with_noise,8,6,0.6,46,9,0.5333333333333333
Mushroom-no-missing-values_with_noise,2,17,0.9261992619926199,1,20,0.948339483394834
soybean-no-missing-values_with_noise,3,11,0.6521739130434783,127,12,0.7681159420289855
Sponge_with_noise,1,3,1.0,4,5,1.0
student-mat_with_noise,240,6,0.5,54,9,0.45
Titanic_with_noise,1,4,0.6870229007633588,1,12,0.8854961832061069
Zoo_with_noise,4,11,0.9090909090909091,4,11,0.9090909090909091
