Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,13,10,0.9333333333333333,100,11,0.9333333333333333
credit-g_with_noise,1,2,0.63,3,17,0.7
Dermatology-no-missing-values_with_noise,77,6,0.6486486486486487,79,8,0.8108108108108109
eucalyptus_with_noise,1,2,0.40540540540540543,1,19,0.7162162162162162
Flags_with_noise,2,4,0.65,169,8,0.65
German-credit_with_noise,1,2,0.65,1,15,0.71
ilpd_with_noise,26,3,0.5932203389830508,1,10,0.6440677966101694
loan_with_noise,5,3,0.5645161290322581,1,9,0.7741935483870968
lymphography_with_noise,8,6,0.6666666666666666,46,9,0.6
Mushroom-no-missing-values_with_noise,2,17,0.985239852398524,1,20,0.991389913899139
soybean-no-missing-values_with_noise,3,11,0.7536231884057971,127,12,0.8115942028985508
Sponge_with_noise,1,3,1.0,4,5,1.0
student-mat_with_noise,240,6,0.375,54,9,0.5
Titanic_with_noise,1,4,0.7786259541984732,1,12,0.9389312977099237
Zoo_with_noise,4,11,1.0,4,11,1.0
