Name,Number of reducts,Shortest reducts Size,Reducts accuracy,Number of constructs,Shortest constructs Size,Constructs accuracy
anneal_with_noise,3,10,0.9444444444444444,21,11,0.9444444444444444
credit-g_with_noise,10,3,0.68,1,17,0.68
Dermatology-no-missing-values_with_noise,84,6,0.7297297297297297,5,8,0.8648648648648649
eucalyptus_with_noise,36,3,0.5945945945945946,1,19,0.7432432432432432
Flags_with_noise,22,5,0.45,166,8,0.5
German-credit_with_noise,8,3,0.68,2,16,0.72
ilpd_with_noise,24,3,0.6610169491525424,1,10,0.576271186440678
loan_with_noise,1,2,0.532258064516129,1,9,0.7096774193548387
lymphography_with_noise,1,5,0.6666666666666666,1,8,0.6
Mushroom-no-missing-values_with_noise,1,18,0.982779827798278,1,21,0.986469864698647
soybean-no-missing-values_with_noise,6,12,0.855072463768116,1,12,0.7971014492753623
Sponge_with_noise,1,3,1.0,7,5,1.0
student-mat_with_noise,1,5,0.425,10,9,0.45
Titanic_with_noise,13,6,0.9389312977099237,1,12,0.9541984732824428
Zoo_with_noise,11,11,1.0,11,11,1.0
