@relation mushroom-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute cap-shape {b,c,f,k,s,x}
@attribute cap-surface {f,g,s,y}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute bruises? {f,t}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute gill-attachment {a,d,f,n}
@attribute gill-spacing {c,d,w}
@attribute gill-size {b,n}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute stalk-shape {e,t}
@attribute stalk-root {b,c,e,r,u,z}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute veil-color {n,o,w,y}
@attribute ring-number {n,o,t}
@attribute ring-type {c,e,f,l,n,p,s,z}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute population {a,c,n,s,v,y}
@attribute habitat {d,g,l,m,p,u,w}
@attribute Class {e,p}

@data
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,s,u,p
x,s,y,t,a,f,c,b,k,e,b,s,s,w,w,w,o,p,n,n,d,e
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m,e
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,k,s,u,p
x,s,g,f,n,f,c,b,b,t,b,s,s,w,w,w,o,e,n,a,g,e
x,y,y,t,n,f,c,b,b,e,c,s,s,w,w,w,o,p,k,n,g,e
b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,n,d,e
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g,p
x,s,y,t,a,f,c,b,g,e,b,s,s,w,w,w,o,p,k,s,m,e
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g,e
x,y,y,t,n,f,c,b,b,t,c,s,s,w,w,w,o,p,k,s,m,e
b,s,y,f,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,v,g,e
x,y,w,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,p
x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,w,o,e,k,a,g,e
s,f,g,f,n,f,c,b,k,t,e,s,s,w,w,w,o,p,n,y,d,e
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g,e
x,s,n,t,p,f,c,n,b,e,e,s,s,w,w,w,o,p,k,s,g,p
x,y,w,t,n,f,c,n,n,e,b,s,s,w,w,w,o,p,n,s,u,p
x,s,n,t,p,f,c,n,k,t,e,s,s,w,w,w,o,p,n,s,u,p
b,s,n,t,n,f,c,b,k,e,c,s,s,w,w,w,o,p,w,s,m,e
x,y,n,t,p,f,c,n,n,e,b,s,s,w,w,w,o,p,n,v,g,p
x,y,n,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,s,m,e
b,y,n,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,e
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,m,e
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,d,p
x,y,y,t,a,f,c,b,n,t,c,s,s,w,w,w,o,p,n,n,m,e
x,y,w,t,l,f,c,b,b,e,c,s,s,w,w,w,o,p,n,v,m,e
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,y,u,e
x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,n,v,d,e
b,s,y,f,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m,e
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,n,s,u,p
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,d,e
x,y,n,f,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,y,d,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,m,e
x,y,y,t,l,f,w,n,b,t,b,s,s,w,w,w,o,p,n,v,d,e
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,u,e
x,y,n,t,p,f,c,n,w,e,b,s,s,w,w,w,o,p,n,s,u,p
x,f,n,t,a,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d,e
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,v,m,e
b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,w,v,d,e
x,f,n,f,n,f,c,n,g,e,b,s,s,w,w,w,o,p,k,y,d,e
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,w,v,g,p
x,s,y,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,w,n,m,e
x,y,w,f,a,f,c,b,b,t,c,s,s,w,w,w,o,p,n,n,g,e
x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m,e
x,s,n,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m,e
x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,w,s,d,e
f,y,y,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,v,p,e
x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g,e
x,s,w,t,n,f,c,b,k,t,c,s,s,w,w,w,o,p,k,s,g,e
b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,n,m,e
x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u,p
x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,d,p
x,y,y,t,a,f,c,b,w,t,c,s,s,w,w,w,o,p,k,s,m,e
f,f,g,f,n,f,w,b,n,t,e,s,s,w,w,w,o,p,n,a,g,e
b,s,w,t,n,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g,e
x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,w,n,g,e
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,y,p,e
