@relation shuttle-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute A1 {'\'(-inf-36.9]\'','\'(36.9-46.8]\'','\'(46.8-56.7]\'','\'(56.7-66.6]\'','\'(66.6-76.5]\'','\'(76.5-86.4]\'','\'(86.4-96.3]\'','\'(96.3-106.2]\'','\'(106.2-116.1]\'','\'(116.1-inf)\''}
@attribute A2 {'\'(-inf--3831.4]\'','\'(-3831.4--2841.8]\'','\'(-2841.8--1852.2]\'','\'(-1852.2--862.6]\'','\'(-862.6-127]\'','\'(127-1116.6]\'','\'(1116.6-2106.2]\'','\'(2106.2-3095.8]\'','\'(3095.8-4085.4]\'','\'(4085.4-inf)\''}
@attribute A3 {'\'(-inf-33.8]\'','\'(33.8-46.6]\'','\'(46.6-59.4]\'','\'(59.4-72.2]\'','\'(72.2-85]\'','\'(85-97.8]\'','\'(97.8-110.6]\'','\'(110.6-123.4]\'','\'(123.4-136.2]\'','\'(136.2-inf)\''}
@attribute A4 {'\'(-inf--3162.1]\'','\'(-3162.1--2385.2]\'','\'(-2385.2--1608.3]\'','\'(-1608.3--831.4]\'','\'(-831.4--54.5]\'','\'(-54.5-722.4]\'','\'(722.4-1499.3]\'','\'(1499.3-2276.2]\'','\'(2276.2-3053.1]\'','\'(3053.1-inf)\''}
@attribute A5 {'\'(-inf--125.6]\'','\'(-125.6--63.2]\'','\'(-63.2--0.8]\'','\'(-0.8-61.6]\'','\'(61.6-124]\'','\'(124-186.4]\'','\'(186.4-248.8]\'','\'(248.8-311.2]\'','\'(311.2-373.6]\'','\'(373.6-inf)\''}
@attribute A6 {'\'(-inf--22548.7]\'','\'(-22548.7--18358.4]\'','\'(-18358.4--14168.1]\'','\'(-14168.1--9977.8]\'','\'(-9977.8--5787.5]\'','\'(-5787.5--1597.2]\'','\'(-1597.2-2593.1]\'','\'(2593.1-6783.4]\'','\'(6783.4-10973.7]\'','\'(10973.7-inf)\''}
@attribute A7 {'\'(-inf--32.7]\'','\'(-32.7--17.4]\'','\'(-17.4--2.1]\'','\'(-2.1-13.2]\'','\'(13.2-28.5]\'','\'(28.5-43.8]\'','\'(43.8-59.1]\'','\'(59.1-74.4]\'','\'(74.4-89.7]\'','\'(89.7-inf)\''}
@attribute A8 {'\'(-inf--290.7]\'','\'(-290.7--228.4]\'','\'(-228.4--166.1]\'','\'(-166.1--103.8]\'','\'(-103.8--41.5]\'','\'(-41.5-20.8]\'','\'(20.8-83.1]\'','\'(83.1-145.4]\'','\'(145.4-207.7]\'','\'(207.7-inf)\''}
@attribute A9 {'\'(-inf--293.8]\'','\'(-293.8--231.6]\'','\'(-231.6--169.4]\'','\'(-169.4--107.2]\'','\'(-107.2--45]\'','\'(-45-17.2]\'','\'(17.2-79.4]\'','\'(79.4-141.6]\'','\'(141.6-203.8]\'','\'(203.8-inf)\''}
@attribute class {1,2,3,4,5,6,7}

@data
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(13.2-28.5]\'','\'(20.8-83.1]\'','\'(17.2-79.4]\'',2
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(85-97.8]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(83.1-145.4]\'','\'(17.2-79.4]\'',4
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(76.5-86.4]\'','\'(-862.6-127]\'','\'(85-97.8]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(-2.1-13.2]\'','\'(20.8-83.1]\'','\'(79.4-141.6]\'',5
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-63.2--0.8]\'','\'(-1597.2-2593.1]\'','\'(13.2-28.5]\'','\'(83.1-145.4]\'','\'(17.2-79.4]\'',4
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(85-97.8]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(13.2-28.5]\'','\'(20.8-83.1]\'','\'(17.2-79.4]\'',4
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(97.8-110.6]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(59.1-74.4]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(17.2-79.4]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-63.2--0.8]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(17.2-79.4]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(97.8-110.6]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(43.8-59.1]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(36.9-46.8]\'','\'(-862.6-127]\'','\'(85-97.8]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(43.8-59.1]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
'\'(46.8-56.7]\'','\'(-862.6-127]\'','\'(72.2-85]\'','\'(-54.5-722.4]\'','\'(-0.8-61.6]\'','\'(-1597.2-2593.1]\'','\'(28.5-43.8]\'','\'(20.8-83.1]\'','\'(-45-17.2]\'',1
